,country,status,life expectancy,adult mortality,infant deaths,alcohol,percentage expenditure,hepatitis b,measles,bmi,under-five deaths,polio,total expenditure,diphtheria,hiv/aids,gdp,population,thinness 1-19 years,thinness 5-9 years,income composition of resources,schooling
94,Libya,1.0,72.4875,139.6875,2.1875,0.2440625,180.0749890925,96.3125,547.3125,54.8375,2.5,96.5,3.8546875,96.5,0.1,3890.3583803125002,1386542.0,5.6,5.43125,0.7408125,14.79375
95,Lithuania,0.0,72.80625,117.25,0.0,12.0778125,1015.75384256375,94.75,14.9375,49.23125,0.0,88.8125,6.4978125,94.25,0.1,9007.4586225,1926212.125,2.9375,2.96875,0.8066875,16.1
96,Luxembourg,0.0,80.78125,67.5625,0.0,11.4115625,8177.5763413625,92.375,1.125,47.825,0.0,98.0625,7.4353125,98.9375,0.1,53257.012740625,265276.375,0.95,0.9125,0.878125,13.6375
97,Macedonia,1.0,74.1125,60.8125,0.0,1.9771874999999999,0.0,86.1875,74.75,52.90625,0.0,95.5,7.4246875,94.875,0.1,1766.947595,1386542.0,2.43125,2.45625,0.45575,12.38125
98,Madagascar,1.0,62.74375,228.8125,34.9375,1.0034375,43.25315657175,66.9375,9576.1875,14.76875,51.125,59.9375,4.7759375,61.25,0.525,314.04132958125,10950267.4375,7.86875,7.78125,0.4566875,9.33125
99,Malawi,1.0,49.89375,424.4375,37.125,1.0965625,25.849706456812502,89.875,7559.4375,16.78125,58.75,89.0625,6.6021875,83.625,16.68125,237.50404201875,6700263.0625,7.11875,6.9875,0.410625,10.23125
100,Malaysia,1.0,73.75625,118.5625,3.3125,0.6946875,248.88502812,96.0,1453.125,29.16875,4.125,96.375,3.8740625,96.4375,0.1,4904.9389918125,11529155.8125,8.6125,8.40625,0.749125,12.5625
101,Maldives,1.0,75.5375,83.1875,0.0,1.5540625000000001,626.4998210525,97.875,157.875,19.29375,0.0,97.875,8.0815625,97.875,0.1,3818.2969615625,3334.25,14.19375,14.2875,0.638625,12.0
102,Mali,1.0,54.9375,202.125,55.9375,0.6453125,48.981176981125,71.8125,823.3125,17.2125,96.5,62.5,6.4746875,67.0,1.825,530.5121701,5781492.875,7.075,6.35,0.3651875,6.43125
103,Malta,0.0,80.3625,60.75,0.0,6.9190625,1181.4317855812499,82.6875,2.1875,66.18124999999999,0.0,89.4375,8.4190625,89.3125,0.1,10114.797943125,224742.4375,0.75,0.7124999999999999,0.8111875,14.30625
104,Marshall Islands,1.0,72.1,144.0,0.0,0.01,871.8783173,8.0,0.0,81.6,0.0,79.0,17.24,79.0,0.1,3617.752354,1386542.0,0.1,0.1,0.677,0.0
105,Mauritania,1.0,62.8,159.9375,7.8125,0.2471875,31.7031471238125,68.375,815.9375,22.475,11.9375,63.0625,4.0490625,60.125,1.1875,635.04960900625,1262286.1875,6.48125,6.81875,0.4730625,7.31875
106,Mauritius,1.0,72.7125,163.5625,0.0,2.9596875,422.2395242989375,96.1875,54.3125,25.98125,0.0,96.5,4.6015625,96.3125,0.10625000000000001,5299.579823625,663332.875,7.46875,7.4125,0.722625,13.53125
107,Mexico,1.0,75.71875,111.0625,39.625,5.0290625,465.3274957875,94.4375,11.0,51.41875,46.5,95.0625,6.0540625,95.0,0.1,5179.33080675,27585265.1875,1.73125,1.66875,0.7288749999999999,12.325
108,Micronesia,1.0,68.2,154.0625,0.0,2.2459375,0.0,75.4375,8.75,65.15,0.0,82.375,10.7246875,81.875,0.1,1766.947595,1386542.0,0.21250000000000002,0.20625000000000002,0.5868125,10.4
109,Moldova,1.0,69.98125,210.3125,1.0,9.1834375,0.0,95.0,390.875,43.90625,1.0625,94.9375,6.8815625,72.8125,0.1,1766.947595,1386542.0,3.025,3.2,0.677,12.3
110,Monaco,1.0,72.1,144.0,0.0,0.01,0.0,99.0,0.0,43.5,0.0,99.0,4.3,99.0,0.1,1766.947595,1386542.0,3.3,3.3,0.677,12.3
111,Mongolia,1.0,65.8875,222.125,1.5625,2.4415625,126.378363989375,97.4375,2079.25,39.79375,1.9375,97.5625,5.2165625,97.375,0.1,1984.6880227125,2037470.6875,2.28125,2.3874999999999997,0.6620625,12.66875
112,Montenegro,1.0,74.5,92.75,0.0,2.730625,455.049824020625,64.8125,0.625,50.4875,0.0,87.5625,7.3153125,87.6875,0.1,4676.5142775,329668.1875,2.1375,2.1875,0.58375,10.71875
113,Morocco,1.0,72.15625,95.1875,21.375,0.7209375,102.98965830775,87.25,2593.0,48.61875,24.875,96.9375,5.4621875,97.1875,0.1,1936.391438375,20591653.9375,6.45625,6.3125,0.5855,10.2875
114,Mozambique,1.0,53.39375,226.25,74.5625,1.4215625,37.0341515221875,69.375,4735.0,16.14375,107.25,69.0,5.9590625,64.0625,11.3875,365.06823808125,11729745.9375,3.80625,3.71875,0.3608125,7.9875
115,Myanmar,1.0,64.2,154.3125,56.625,0.5640625,12.82456363525,70.4375,914.5,17.125,76.9375,70.6875,2.2465625,72.375,0.475,616.18435734375,26015702.0,13.13125,13.425,0.48825,8.325
116,Namibia,1.0,60.4,313.1875,2.875,4.6509375,359.9300794169375,89.875,722.0625,28.225,3.8125,78.5,7.2959375,83.5,13.64375,3042.603507,1025527.125,10.7,10.70625,0.5883125,11.55
117,Nauru,1.0,72.1,144.0,0.0,0.01,15.60659587,87.0,0.0,87.3,0.0,87.0,4.65,87.0,0.1,136.18321,1386542.0,0.1,0.1,0.677,9.6
118,Nepal,1.0,66.48125,147.25,29.125,0.41281249999999997,40.1620642759375,70.375,4663.5625,15.175,38.125,69.125,5.8809375,73.6875,0.15625,395.32846794375,14633755.5625,17.13125,17.66875,0.494375,10.43125
119,Netherlands,0.0,81.13125,61.625,1.0,8.5284375,3805.68704771875,78.3125,251.9375,53.96875,1.0,96.8125,7.0546875,96.8125,0.1,34964.719796875,9775704.375,1.025,0.9625,0.89975,17.05625
120,New Zealand,0.0,81.3375,71.5,0.0,9.16625,2922.147779791875,70.1875,94.9375,56.625,0.0,89.125,8.6809375,70.625,0.1,14775.554806875001,1386542.0,0.3125,0.3,0.8911875,18.86875
121,Nicaragua,1.0,73.45,162.375,3.0625,3.6065625,183.6629076488125,91.875,0.0,42.68125,3.6875,88.1875,6.6696875,91.875,0.225,957.9039710625,1999846.9375,1.96875,1.875,0.6035,11.1125
122,Niger,1.0,56.98125,232.4375,52.8125,0.3203125,19.099368610625,78.25,15467.125,16.3625,105.6875,52.9375,6.5259375,52.3125,1.1625,259.782440975,11240718.9375,9.025,8.9125,0.298125,4.01875
123,Nigeria,1.0,51.35625,248.5,535.6875,8.3409375,85.4442753329375,58.25,51653.9375,19.75,852.0625,41.3125,3.8384375,39.3125,4.83125,1360.13987746875,70877003.0625,10.41875,10.36875,0.367375,9.0
124,Niue,1.0,72.1,144.0,0.0,0.01,0.0,99.0,0.0,77.3,0.0,99.0,7.2,99.0,0.1,1766.947595,1386542.0,0.1,0.1,0.677,12.3
125,North Korea,1.0,69.19375,160.8125,9.9375,3.0471875,0.0,89.4375,222.5625,25.625,12.8125,98.25,5.755,83.25,0.1,1766.947595,1386542.0,5.4375,5.45,0.677,12.3
126,Norway,0.0,81.79375,66.25,0.0,6.234375,4658.8139180937505,92.0,6.3125,50.8125,0.0,93.0625,8.8778125,87.9375,0.1,27434.946928125002,2614432.3125,0.7625,0.7,0.9314375,17.46875
127,Oman,1.0,74.84375,67.75,1.0,0.7359375,387.410820335625,98.8125,10.875,44.78125,1.0,98.5,3.0565625,98.75,0.1,7621.311126875,1386542.0,7.025,6.825,0.7155,12.225
128,Pakistan,1.0,64.5,154.0,367.9375,0.2590625,26.120390604562502,71.9375,3842.3125,18.3125,461.0,64.1875,3.0821875,70.875,0.1,666.11105159375,69027961.8125,15.0875,15.5125,0.500875,6.71875
129,Palau,1.0,72.1,144.0,0.0,3.755,344.6906308,99.0,0.0,83.3,0.0,99.0,9.27,99.0,0.1,1932.12237,292.0,0.1,0.1,0.779,14.2
130,Panama,1.0,76.4875,115.875,1.125,6.0584375,569.9716162019375,79.5,0.25,49.3125,1.6875,84.6875,7.5990625,80.0,0.125,5417.7688902499995,1955021.875,2.08125,2.01875,0.74825,12.775
131,Papua New Guinea,1.0,61.68125,266.5625,10.625,0.7790625,75.370481651875,57.0,2349.875,40.7875,13.75,62.5625,5.4809375,68.375,1.16875,821.1507400125,4813446.0,1.40625,1.3625,0.4661875,8.54375
132,Paraguay,1.0,73.1125,139.9375,3.1875,5.4165625,229.790694404375,84.0,0.0,39.525,3.6875,77.9375,6.7146875,89.625,0.1375,1983.4043354375,3299080.625,2.2,2.11875,0.6561875,12.16875
133,Peru,1.0,73.6625,122.4375,11.8125,4.2459375,417.078699565,85.25,0.375,44.86875,15.125,82.8125,4.9784375,81.0,0.29375,2928.543541625,16854321.6875,1.21875,1.21875,0.70325,13.30625
134,Philippines,1.0,67.575,217.9375,61.1875,4.4634375,89.55657082675,62.125,7144.6875,19.1875,78.8125,78.1875,4.0209375,79.125,0.1,1397.1361066875,37265400.3125,1.0,9.69375,0.6504375,11.54375
135,Poland,0.0,75.65,107.5625,2.25,9.6084375,310.682268485,97.375,47.4375,53.73125,2.6875,96.75,6.3403125000000005,98.75,0.1,6792.5636004375,16053249.625,2.20625,2.3625,0.8131875,15.25
136,Portugal,0.0,79.99375,58.875,0.1875,11.6828125,1614.89704591875,87.625,7.25,43.63125,0.375,96.5,7.8153125,97.0,0.1,11598.62553125,1032225.375,0.71875,0.5375,0.805,15.9375
137,Qatar,1.0,77.03125,75.375,0.0,1.2484375,2466.8550051575,95.0625,96.25,65.65,0.0,95.875,2.7984375,89.6875,0.1,40748.444104375,1386542.0,4.95625,4.5875,0.828375,12.85
138,Romania,0.0,74.05,156.0625,2.8125,8.6428125,426.536634242625,91.8125,1365.6875,52.25,3.25,94.75,5.3078125,95.0,0.1,4258.9400543125,9206345.625,3.16875,3.50625,0.762625,13.925
139,Russia,1.0,67.7625,224.5625,16.6875,10.6671875,326.084075064875,92.3125,1616.4375,53.31875,19.3125,97.5625,6.1940625,97.125,0.2625,6545.137359,59762085.625,2.44375,2.60625,0.7621875,13.74375
140,Rwanda,1.0,59.3125,246.8125,20.75,5.5184375,20.1913534375,95.5,505.875,14.75,32.0625,88.5,6.3134375,89.375,4.425,300.01801709375,3735506.5625,6.63125,6.65625,0.4176875,9.2875
141,Saint Kitts and Nevis,1.0,72.1,144.0,0.0,8.54,0.0,97.0,0.0,5.2,0.0,96.0,6.14,96.0,0.1,1766.947595,1386542.0,3.7,3.6,0.749,13.4
142,Saint Lucia,1.0,73.6,146.25,0.0,11.0265625,0.0,89.625,0.0,39.59375,0.0,84.875,6.8496875,83.8125,0.15000000000000002,1766.947595,1386542.0,4.35,4.38125,0.66475,12.70625
143,Saint Vincent and the Grenadines,1.0,73.475,152.0625,0.0,5.9628125,0.0,92.8125,0.0,41.99375,0.0,97.875,4.8746875,98.3125,0.28125,1766.947595,1386542.0,3.6625,3.6125,0.65725,13.18125
144,Samoa,1.0,73.61875,133.5625,0.0,2.7696875,254.597017984375,54.9375,0.5625,62.90625,0.0,57.25,5.3521875,62.9375,0.1,2121.6206485000002,131440.125,0.2,0.16875,0.6784375,12.64375
145,San Marino,1.0,72.1,144.0,0.0,0.01,0.0,69.0,0.0,43.5,0.0,69.0,6.5,69.0,0.1,1766.947595,1386542.0,3.3,3.3,0.677,15.1
146,Sao Tome and Principe,1.0,65.1625,164.9375,0.0,4.1640625,52.315094208812496,84.9375,0.0,20.85,0.0,90.5625,6.5340625,95.125,0.96875,833.2793818,108853.9375,6.6375,6.55625,0.52825,10.25625
147,Saudi Arabia,1.0,73.46875,52.125,8.625,0.3046875,838.506400329375,96.8125,759.3125,55.3125,10.0,96.8125,4.0390625,96.875,0.1,10689.0529458125,1386542.0,7.35625,7.36875,0.782625,13.2875
148,Senegal,1.0,62.56875,174.1875,22.3125,0.5246875,21.4864262246875,87.8125,3248.75,18.44375,36.625,75.4375,4.9890625,78.3125,0.53125,274.61116614375,5413842.6875,8.09375,7.9875,0.4325625,7.125
149,Serbia,1.0,73.95625,130.4375,1.0,8.3746875,464.7447380456875,91.0625,73.8125,52.1375,1.0625,94.625,6.1709375,93.3125,0.1,3674.5424077625003,3608279.875,2.39375,2.425,0.7416874999999999,13.53125
150,Seychelles,1.0,72.375,161.1875,0.0,6.0484375,466.8304218925,98.6875,0.6875,28.40625,0.0,98.5,3.9240625,98.5,0.1,6496.3023970625,61543.8125,5.90625,6.3,0.6908124999999999,12.90625
151,Sierra Leone,1.0,46.1125,357.8125,27.5625,3.1921875,29.105578593562498,87.1875,673.875,18.30625,41.875,71.75,9.0015625,72.125,1.51875,271.50556128125,3336264.5625,7.68125,7.1,0.3618125,8.23125
152,Singapore,0.0,81.475,62.0,0.0,1.7625,2332.57175895,95.875,85.75,25.90625,0.0,96.125,3.8171875,96.1875,0.1,32790.105906875004,1386542.0,2.125,2.06875,0.866875,13.98125
153,Slovakia,0.0,74.75,118.0625,0.0,10.0534375,0.0,98.5625,0.25,51.81875,0.125,98.4375,7.2746875,98.625,0.1,1766.947595,1386542.0,1.34375,1.425,0.8033125,14.35
154,Slovenia,0.0,79.73125,76.4375,0.0,10.3171875,1556.33454500875,92.0,6.0625,52.2,0.0,95.1875,8.6615625,95.0,0.1,11441.0443775,401279.0625,1.76875,1.79375,0.8604375,16.475
155,Solomon Islands,1.0,67.7125,140.0625,0.0,0.9853125,112.02741557056251,78.625,0.0,39.175,0.0,87.75,6.2353125,75.375,0.1,801.912383175,329044.1875,1.24375,1.2625,0.48025,8.6375
156,Somalia,1.0,53.31875,316.75,49.875,0.2440625,0.0,82.625,5494.0625,18.6875,80.5625,29.8125,5.755,29.3125,0.8375,1491.42117315,1386542.0,7.26875,7.08125,0.677,12.3
157,South Africa,1.0,57.5,412.75,48.6875,7.3490625,616.359643518125,66.5,1506.0,38.15,69.8125,65.3125,8.1465625,70.1875,18.49375,4869.4270436875,29213839.465,9.175,11.075000000000001,0.6290625,12.89375
158,South Republic of Korea,1.0,80.4875,76.1875,2.125,8.5365625,0.0,95.125,3548.4375,23.24375,2.5625,91.25,5.9021875,96.0625,0.1,1766.947595,1386542.0,1.5375,1.01875,0.677,12.3
159,South Sudan,1.0,53.875,346.3125,27.75,3.755,8.2410769375,88.1875,315.75,43.5,43.25,77.6875,5.1840625,78.625,3.69375,1429.5906128125,3750827.125,3.3,3.3,0.13168749999999999,1.53125
160,Spain,0.0,82.06875,63.625,1.625,9.6321875,2332.680183884375,92.5,449.875,58.66875,1.875,96.75,8.3628125,96.75,0.1,17093.459736875,26542854.125,0.6,0.5,0.8505625,16.35625
161,Sri Lanka,1.0,73.4,144.375,4.0,2.1996875,59.75360089375,90.875,1420.4375,17.275,4.75,98.375,3.8953125,98.4375,0.1,1040.110189675,10844.8125,15.325000000000001,15.36875,0.7251875,13.21875
162,Sudan,1.0,61.825,240.3125,64.625,1.6015625,97.69844266625,78.5,3108.0,43.5,96.625,72.25,5.6990625,72.375,0.25,1192.79795343125,18046515.125,3.3,3.3,0.441,6.375
163,Suriname,1.0,70.08125,166.0,0.0,4.9071875,508.494032814375,87.375,0.0,50.15625,0.0,78.25,6.6059375,82.5625,0.7625,4781.2168219375,190916.625,3.5125,3.45625,0.4810625,11.825
164,Swaziland,1.0,51.325,339.0,2.625,4.4190625,278.0997131315,76.0,49.125,25.5,3.6875,89.0,7.2115625,83.75,32.94375,2165.0908375,457303.0625,6.475,6.63125,0.5156875,10.35
165,Sweden,0.0,82.51875,59.1875,0.0,6.7284375,4438.16315355,81.75,18.9375,56.25,0.0,98.3125,9.6715625,98.3125,0.1,29334.990639375,5514868.3125,1.35,1.3062500000000001,0.8931250000000001,15.86875
166,Switzerland,0.0,82.33125,55.75,0.0,9.9265625,9801.81037748125,92.0,397.5,51.4375,0.0,95.375,6.0665625,94.5625,0.1,57362.87460125,5913241.8125,0.5375,0.39375,0.9110625,15.39375
167,Syria,1.0,70.85,139.625,8.0,0.9890625,39.2994856325,64.125,295.6875,47.3125,9.5625,64.8125,4.0596875,48.4375,0.1,1427.1916844375,6741444.8125,6.45,6.25625,0.6180625,10.98125
168,Tajikistan,1.0,66.65625,177.5625,10.6875,0.5446875,17.2771924581875,85.375,208.1875,33.1125,12.75,88.3125,5.6546875,89.25,0.25625,335.84172523125,4751355.0,3.80625,3.85,0.5838125,10.68125
169,Tanzania,1.0,56.00625,304.4375,95.25,3.5934375,0.0,75.8125,3348.5625,17.31875,143.1875,83.375,4.7671875,74.6875,7.275,1766.947595,1386542.0,7.425,7.35625,0.677,12.3
170,Thailand,1.0,73.08125,160.375,12.125,5.9828125,401.2599634,97.0,4311.9375,21.59375,14.125,98.3125,3.8821875,98.1875,0.3875,3494.781701625,31170509.5,8.54375,8.7,0.6946875,12.55
171,Timor-Leste,1.0,64.75625,170.375,2.375,0.4553125,21.187523274500002,84.0,85.0625,14.55,3.0,66.9375,1.9034375,67.8125,0.1,551.7106493125,460195.625,10.525,11.69375,0.517625,10.7
172,Togo,1.0,56.6625,311.3125,14.1875,1.1228125,23.705604090625002,84.3125,532.5,17.99375,21.4375,67.1875,5.2753125,74.3125,3.8625,317.20409206875,3722045.5625,7.86875,7.7375,0.4459375,10.65
173,Tonga,1.0,72.53125,129.625,0.0,1.3290625,323.8093429281875,75.5,0.25,62.94375,0.0,76.875,5.2403125,70.3125,0.1,1981.5551861874999,26589.8125,0.1,0.1,0.6988125,14.21875
174,Trinidad and Tobago,1.0,71.06875,163.375,0.0,5.9015625,559.314872033125,59.5625,0.0,37.73125,0.25,76.4375,5.2340625,66.5,0.625,7741.7480900625,776133.125,6.1375,6.50625,0.753375,12.33125
175,Tunisia,1.0,74.35625,18.75,3.25,1.4634375,366.74126047625,96.75,33.1875,48.25625,3.6875,97.6875,6.0340625,97.6875,0.1,3044.081488375,3274493.1875,6.40625,6.3375,0.692625,14.05625
176,Turkey,1.0,73.9125,98.375,26.9375,1.5671875,253.4171775340625,87.0625,5272.9375,56.4125,32.25,80.8125,5.6265625,80.75,0.1,3983.91772175,33501352.8125,5.0125,4.85,0.7033125,12.675
177,Turkmenistan,1.0,64.61874999999999,214.8125,6.5625,2.7234375,187.7819875550625,96.625,15.125,38.11875,8.0625,95.5625,3.0115625,96.375,0.1,2511.6115398624997,2635550.1875,3.3375,3.3625,0.211625,9.83125
178,Tuvalu,1.0,72.1,144.0,0.0,0.01,78.28120317,9.0,0.0,79.3,0.0,9.0,16.61,9.0,0.1,3542.13589,1819.0,0.2,0.1,0.677,0.0
179,Uganda,1.0,55.70625,300.1875,89.6875,7.7821875,47.692108349562496,67.0,12394.625,15.525,138.875,65.4375,8.3678125,64.875,7.65,421.04849634375,15540587.125,6.2625,6.25625,0.4453125,10.59375
180,Ukraine,1.0,69.9375,205.75,5.0625,7.1434375,169.42733017693752,54.625,5395.1875,50.89375,5.9375,81.4375,6.7134374999999995,70.0,0.5375,1577.293328625,10004933.25,2.575,2.675,0.7165625,14.60625
181,United Arab Emirates,1.0,75.7,67.0625,1.0,1.8753125,1886.73158978125,93.875,75.625,53.80625,1.0,95.0625,3.2065625,94.625,0.1,22110.36698625,1386542.0,5.1812499999999995,4.96875,0.8195625,12.8125
182,United Kingdom,0.0,80.79375,70.375,3.625,11.13125,0.0,92.0,715.75,55.3875,4.0625,92.875,8.3603125,92.875,0.1,1766.947595,1386542.0,0.75,0.50625,0.677,12.3
183,United States,0.0,78.0625,58.1875,26.1875,8.2778125,0.0,81.375,130.625,58.45,30.75,82.125,15.231562499999999,95.125,0.1,1766.947595,1386542.0,0.73125,0.60625,0.677,12.3
184,Uruguay,1.0,76.075,119.9375,0.5625,6.0215625,621.8389194,94.3125,0.0,52.925,0.75,94.25,8.5628125,89.125,0.1,7192.5848745,2396771.125,1.6,1.54375,0.765625,15.23125
185,Uzbekistan,1.0,68.03125,184.8125,21.9375,1.7428124999999999,44.3734502649375,95.1875,208.4375,34.80625,25.6875,98.5625,5.6453125,98.4375,0.20625000000000002,651.09235893125,903631.6875,3.14375,3.175,0.603,11.64375
186,Vanuatu,1.0,71.3875,137.875,0.0,0.9909375,282.32574587,56.125,20.875,44.25625,0.0,66.1875,4.0428125,59.0625,0.1,2000.245518125,123096.1875,1.56875,1.49375,0.3675,10.56875
187,Venezuela,1.0,73.3875,163.0,9.375,7.1909374999999995,0.0,66.25,165.0,54.4875,10.75,74.6875,5.0459375,68.5,0.1,1766.947595,1386542.0,1.6500000000000001,1.5625,0.7268125,12.7875
188,Vietnam,1.0,74.775,126.5625,29.1875,3.1290625,0.0,88.375,4232.9375,11.1875,36.5,94.9375,5.9634375,91.75,0.14375000000000002,1766.947595,1386542.0,14.925,15.625,0.6270625,11.5125
189,Yemen,1.0,63.8625,211.8125,39.375,0.2790625,0.0,55.6875,2761.1875,33.4875,51.625,67.125,5.0521875000000005,72.625,0.1,1766.947595,1386542.0,13.83125,13.75,0.4755,8.50625
190,Zambia,1.0,53.90625,354.3125,33.4375,2.3340625,89.650406851125,76.75,6563.8125,17.45,52.375,64.375,5.8196875,74.25,11.93125,811.81184051875,6260246.4375,6.88125,6.7625,0.4984375,11.2125
191,Zimbabwe,1.0,50.4875,462.375,26.5625,4.4365625,20.364271458875,70.5625,923.0,25.1375,40.8125,75.625,6.1334375,75.1875,23.2625,410.98019376875,8021343.0625,7.0125,6.9875,0.439125,9.825
